2024-10-12T12:11:49-04:00
Running ./build/run_benchmark
Run on (8 X 3591.96 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.08, 0.07, 0.10
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_lvl1/2_cv                 0.66 %          0.66 %          1000 items_per_second=0.65%
BM_gao_additive_fft_lvl1/3_mean              0.869 us        0.869 us         1000 items_per_second=1.15074M/s
BM_gao_additive_fft_lvl1/3_median            0.869 us        0.869 us         1000 items_per_second=1.1512M/s
BM_gao_additive_fft_lvl1/3_stddev            0.003 us        0.003 us         1000 items_per_second=3.48071k/s
BM_gao_additive_fft_lvl1/3_cv                 0.31 %          0.31 %          1000 items_per_second=0.30%
BM_gao_additive_fft_lvl1/4_mean               2.03 us         2.03 us         1000 items_per_second=492.04k/s
BM_gao_additive_fft_lvl1/4_median             2.03 us         2.03 us         1000 items_per_second=492.164k/s
BM_gao_additive_fft_lvl1/4_stddev            0.004 us        0.004 us         1000 items_per_second=864.208/s
BM_gao_additive_fft_lvl1/4_cv                 0.18 %          0.18 %          1000 items_per_second=0.18%
BM_gao_additive_fft_lvl1/5_mean               4.80 us         4.80 us         1000 items_per_second=208.322k/s
BM_gao_additive_fft_lvl1/5_median             4.80 us         4.80 us         1000 items_per_second=208.367k/s
BM_gao_additive_fft_lvl1/5_stddev            0.006 us        0.006 us         1000 items_per_second=278.176/s
BM_gao_additive_fft_lvl1/5_cv                 0.14 %          0.14 %          1000 items_per_second=0.13%
BM_gao_additive_fft_lvl1/6_mean               11.2 us         11.2 us         1000 items_per_second=89.2089k/s
BM_gao_additive_fft_lvl1/6_median             11.2 us         11.2 us         1000 items_per_second=89.348k/s
BM_gao_additive_fft_lvl1/6_stddev            0.127 us        0.127 us         1000 items_per_second=984.476/s
BM_gao_additive_fft_lvl1/6_cv                 1.13 %          1.13 %          1000 items_per_second=1.10%
BM_gao_additive_fft_lvl1/7_mean               25.6 us         25.6 us         1000 items_per_second=39.0409k/s
BM_gao_additive_fft_lvl1/7_median             25.6 us         25.6 us         1000 items_per_second=39.1284k/s
BM_gao_additive_fft_lvl1/7_stddev            0.269 us        0.269 us         1000 items_per_second=400.794/s
BM_gao_additive_fft_lvl1/7_cv                 1.05 %          1.05 %          1000 items_per_second=1.03%
BM_gao_additive_fft_lvl1/8_mean               57.8 us         57.8 us         1000 items_per_second=17.2896k/s
BM_gao_additive_fft_lvl1/8_median             57.9 us         57.9 us         1000 items_per_second=17.2686k/s
BM_gao_additive_fft_lvl1/8_stddev            0.231 us        0.231 us         1000 items_per_second=69.3016/s
BM_gao_additive_fft_lvl1/8_cv                 0.40 %          0.40 %          1000 items_per_second=0.40%
BM_gao_additive_fft_lvl1/9_mean                129 us          129 us         1000 items_per_second=7.76956k/s
BM_gao_additive_fft_lvl1/9_median              129 us          129 us         1000 items_per_second=7.76966k/s
BM_gao_additive_fft_lvl1/9_stddev            0.132 us        0.132 us         1000 items_per_second=7.94098/s
BM_gao_additive_fft_lvl1/9_cv                 0.10 %          0.10 %          1000 items_per_second=0.10%
BM_gao_additive_fft_lvl1/10_mean               285 us          285 us         1000 items_per_second=3.50918k/s
BM_gao_additive_fft_lvl1/10_median             285 us          285 us         1000 items_per_second=3.50773k/s
BM_gao_additive_fft_lvl1/10_stddev           0.672 us        0.671 us         1000 items_per_second=8.31746/s
BM_gao_additive_fft_lvl1/10_cv                0.24 %          0.24 %          1000 items_per_second=0.24%
BM_gao_additive_fft_lvl1/11_mean               639 us          639 us         1000 items_per_second=1.56428k/s
BM_gao_additive_fft_lvl1/11_median             639 us          639 us         1000 items_per_second=1.56451k/s
BM_gao_additive_fft_lvl1/11_stddev           0.623 us        0.622 us         1000 items_per_second=1.51798/s
BM_gao_additive_fft_lvl1/11_cv                0.10 %          0.10 %          1000 items_per_second=0.10%
BM_gao_additive_fft_lvl1/12_mean              1413 us         1413 us         1000 items_per_second=707.821/s
BM_gao_additive_fft_lvl1/12_median            1411 us         1411 us         1000 items_per_second=708.511/s
BM_gao_additive_fft_lvl1/12_stddev            3.84 us         3.84 us         1000 items_per_second=1.91915/s
BM_gao_additive_fft_lvl1/12_cv                0.27 %          0.27 %          1000 items_per_second=0.27%
BM_gao_additive_fft_lvl1/13_mean              3149 us         3149 us         1000 items_per_second=317.594/s
BM_gao_additive_fft_lvl1/13_median            3132 us         3132 us         1000 items_per_second=319.247/s
BM_gao_additive_fft_lvl1/13_stddev            33.3 us         33.3 us         1000 items_per_second=3.35949/s
BM_gao_additive_fft_lvl1/13_cv                1.06 %          1.06 %          1000 items_per_second=1.06%
BM_gao_additive_fft_lvl1/14_mean              6883 us         6883 us         1000 items_per_second=145.293/s
BM_gao_additive_fft_lvl1/14_median            6881 us         6881 us         1000 items_per_second=145.331/s
BM_gao_additive_fft_lvl1/14_stddev            10.5 us         10.5 us         1000 items_per_second=0.219942/s
BM_gao_additive_fft_lvl1/14_cv                0.15 %          0.15 %          1000 items_per_second=0.15%
BM_gao_additive_fft_lvl1/15_mean             14923 us        14923 us         1000 items_per_second=67.0104/s
BM_gao_additive_fft_lvl1/15_median           14922 us        14922 us         1000 items_per_second=67.0151/s
BM_gao_additive_fft_lvl1/15_stddev            15.7 us         15.7 us         1000 items_per_second=0.0701726/s
BM_gao_additive_fft_lvl1/15_cv                0.11 %          0.10 %          1000 items_per_second=0.10%
BM_gao_additive_fft_lvl1/16_mean             32404 us        32404 us         1000 items_per_second=30.8609/s
BM_gao_additive_fft_lvl1/16_median           32388 us        32387 us         1000 items_per_second=30.8763/s
BM_gao_additive_fft_lvl1/16_stddev            86.2 us         86.2 us         1000 items_per_second=0.0820525/s
BM_gao_additive_fft_lvl1/16_cv                0.27 %          0.27 %          1000 items_per_second=0.27%
BM_gao_additive_fft_lvl1/17_mean             70170 us        70168 us         1000 items_per_second=14.2515/s
BM_gao_additive_fft_lvl1/17_median           70154 us        70152 us         1000 items_per_second=14.2548/s
BM_gao_additive_fft_lvl1/17_stddev             165 us          165 us         1000 items_per_second=0.0335382/s
BM_gao_additive_fft_lvl1/17_cv                0.24 %          0.24 %          1000 items_per_second=0.24%
BM_gao_additive_fft_lvl1/18_mean            160636 us       160632 us         1000 items_per_second=6.2256/s
BM_gao_additive_fft_lvl1/18_median          160237 us       160226 us         1000 items_per_second=6.2412/s
BM_gao_additive_fft_lvl1/18_stddev             888 us          888 us         1000 items_per_second=0.0342621/s
BM_gao_additive_fft_lvl1/18_cv                0.55 %          0.55 %          1000 items_per_second=0.55%
BM_gao_additive_fft_lvl1/19_mean            428050 us       428030 us         1000 items_per_second=2.33639/s
BM_gao_additive_fft_lvl1/19_median          427362 us       427341 us         1000 items_per_second=2.34005/s
BM_gao_additive_fft_lvl1/19_stddev            2981 us         2979 us         1000 items_per_second=0.0158612/s
BM_gao_additive_fft_lvl1/19_cv                0.70 %          0.70 %          1000 items_per_second=0.68%
BM_gao_additive_fft_lvl1/20_mean           1031240 us      1031196 us         1000 items_per_second=0.969785/s
BM_gao_additive_fft_lvl1/20_median         1029466 us      1029400 us         1000 items_per_second=0.971439/s
BM_gao_additive_fft_lvl1/20_stddev            6406 us         6409 us         1000 items_per_second=6.02581m/s
